"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","","z1"
"src_subject_id","String","20","Required","Subject ID how it's defined in lab/project","","","subjectid,subjectnumber,z2"
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","","datacollecteddate,z3"
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.","z4"
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported","gender,z5"
"pq_tf1","Integer","","Recommended","I feel uninterested in the things I used to enjoy","0;1","0=False; 1=True","qtf1"
"pq_dis1","Integer","","Recommended","I feel uninterested in the things I used to enjoy. If true: how much distress did you experience?","0::3","0=No; 1=Mild; 2=Moderate; 3=Severe",""
"pq_tf2","Integer","","Recommended","I often seem to live through events exactly as they happened before","0;1","0=False; 1=True","qtf2"
"pq_dis2","Integer","","Recommended","I often seem to live through events exactly as they happened before. If true: how much distress did you experience?","0::3","0=No; 1=Mild; 2=Moderate; 3=Severe",""
"pq_tf3","Integer","","Recommended","I sometimes smell or taste things that other people cant smell or taste","0;1","0=False; 1=True","qft3"
"pq_dis3","Integer","","Recommended","I sometimes smell or taste things that other people cant smell or taste. If true: how much distress did you experience?","0::3","0=No; 1=Mild; 2=Moderate; 3=Severe",""
"pq_tf4","Integer","","Recommended","I often hear unusal sounds like banging","0;1","0=False; 1=True","pqb2,pqb2_1,prodq2tf,qft4"
"pq_dis4","Integer","","Recommended","I often hear unusal sounds like banging. If true: how much distress did you experience?","0::3","0=No; 1=Mild; 2=Moderate; 3=Severe",""
"pq_tf5","Integer","","Recommended","I have been confused at times whether something I experienced was real or imaginary","0;1","0=False; 1=True","pqb14,pqb14_1,prodq14tf,qft5"
"pq_dis5","Integer","","Recommended","I have been confused at times whether something I experienced was real or imaginary. If true: how much distress did you experience?","0::3","0=No; 1=Mild; 2=Moderate; 3=Severe",""
"q22_face_change","Integer","","Recommended","When you look at a person, or yourself in a mirror, have you ever seen the face change right before your eyes?","0;1","0 = No; 1= Yes","pq_tf6,qft6"
"pq_dis6","Integer","","Recommended","When I look at a person, or look at myself in a mirror, I have seen the face change right before my eyes. If true: how much distress did you experience?","0::3","0=No; 1=Mild; 2=Moderate; 3=Severe",""
"q29_meeting_people","Integer","","Recommended","I get anxious when meeting people for the first time.","0;1","0 = No; 1= Yes","pq_tf7,qft7"
"pq_dis7","Integer","","Recommended","I get extremely anxious when meeting people for the first time. If true: how much distress did you experience?","0::3","0=No; 1=Mild; 2=Moderate; 3=Severe",""
"q40_see_invisible","Integer","","Recommended","Have you ever seen things invisible to other people?","0;1","0 = No; 1= Yes","pq_tf8,qft8"
"pq_dis8","Integer","","Recommended","I have seen things that other people apparently can't see. If true: how much distress did you experience?","0::3","0=No; 1=Mild; 2=Moderate; 3=Severe",""
"q64_hear_thoughts","Integer","","Recommended","Are your thoughts sometimes so strong that you can almost hear them?","0;1","0 = No; 1= Yes","pq_tf9,pqb17,pqb17_1,prodq17tf,qft9"
"pq_dis9","Integer","","Recommended","My thoughts are sometimes so strong that I can almost hear them. If true: how much distress did you experience?","0::3","0=No; 1=Mild; 2=Moderate; 3=Severe",""
"q37_meanings_ads","Integer","","Recommended","Do you sometimes see special meanings in advertisements, shop windows, or in the way things are arranged around you?","0;1","0 = No; 1= Yes","pq_tf10,qft1"
"pq_dis10","Integer","","Recommended","I sometimes see special meanings in advertisements, shop windows, or in the way things are arranged around me. If true: how much distress did you experience?","0::3","0=No; 1=Mild; 2=Moderate; 3=Severe",""
"pq_tf11","Integer","","Recommended","Sometimes I have felt that I'm not in control of my own ideas or thoughts","0;1","0=False; 1=True","pqb5,pqb5_1,prodq5tf,qft11"
"pq_dis11","Integer","","Recommended","Sometimes I have felt that I'm not in control of my own ideas or thoughts. If true: how much distress did you experience?","0::3","0=No; 1=Mild; 2=Moderate; 3=Severe",""
"q61_distant_sounds","Integer","","Recommended","Do you ever suddenly feel distracted by distant sounds that you are not normally aware of?","0;1","0 = No; 1= Yes","pq_tf12,pqb10,pqb10_1,prodq10tf,qft12"
"pq_dis12","Integer","","Recommended","Sometimes I feel suddenly distracted by distant sounds that I am not normally aware of. If true: how much distress did you experience?","0::3","0=No; 1=Mild; 2=Moderate; 3=Severe",""
"pq_tf13","Integer","","Recommended","I have heard things other people can't hear like voices of people whispering or talking","0;1","0=False; 1=True","qft13"
"pq_dis13","Integer","","Recommended","I have heard things other people can't hear like voices of people whispering or talking. If true: how much distress did you experience?","0::3","0=No; 1=Mild; 2=Moderate; 3=Severe",""
"q59_have_it_in","Integer","","Recommended","I often feel that others have it in for me.","0;1","0 = No; 1= Yes","pq_tf14,qft14"
"pq_dis14","Integer","","Recommended","I often feel that others have it in for me. If true: how much distress did you experience?","0::3","0=No; 1=Mild; 2=Moderate; 3=Severe",""
"q13_unseen_force","Integer","","Recommended","Have you ever had the sense that some person or force is around you, even though you cannot see anyone?","0;1","0=No; 1=Yes","pq_tf15,pqb11,pqb11_1,prodq11tf,qft15"
"pq_dis15","Integer","","Recommended","I have had the sense that some person or force is around me, even though I could not see anyone. If true: how much distress did you experience?","0::3","0=No; 1=Mild; 2=Moderate; 3=Severe",""
