"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","20","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported",""
"version_form","String","121","Recommended","Form used/assessment name","","",""
"psii_1","Integer","","Recommended","My parent(s) does not really like me to tell them my troubles.","1::5","1= strongly agree; 2=agree; 3= I am in between; 4= disagree; 5= strongly disagree",""
"psii_2","Integer","","Recommended","My parent(s) hardly ever praises me for doing well.","1::5","1= strongly agree; 2=agree; 3= I am in between; 4= disagree; 5= strongly disagree",""
"psii_3","Integer","","Recommended","I can count on my parent(s) to help me out if I have a problem.","1::5","1= strongly disagree; 2=disagree; 3= I am in between; 4= agree; 5= strongly agree",""
"psii_4","Integer","","Recommended","My parent(s) spends time just talking to me.","1::5","1= strongly disagree; 2=disagree; 3= I am in between; 4= agree; 5= strongly agree",""
"psii_5","Integer","","Recommended","My parent(s) and I do things that are fun together.","1::5","1= strongly disagree; 2=disagree; 3= I am in between; 4= agree; 5= strongly agree",""
"psii_6","Integer","","Recommended","My parent(s) tells me that his/her ideas are correct and that I should not question them.","1::5","1= strongly agree; 2=agree; 3= I am in between; 4= disagree; 5= strongly disagree",""
"psii_7","Integer","","Recommended","My parent(s) respects my privacy.","1::5","1= strongly disagree; 2=disagree; 3= I am in between; 4= agree; 5= strongly agree",""
"psii_8","Integer","","Recommended","My parent(s) gives me a lot of freedom.","1::5","1= strongly disagree; 2=disagree; 3= I am in between; 4= agree; 5= strongly agree",""
"psii_9","Integer","","Recommended","My parent(s) makes most of the decisions about what I can do.","1::5","1= strongly agree; 2=agree; 3= I am in between; 4= disagree; 5= strongly disagree",""
"psii_10","Integer","","Recommended","My parent(s) believes I have a right to my own point of view.","1::5","1= strongly disagree; 2=disagree; 3= I am in between; 4= agree; 5= strongly agree",""
"psii_11","Integer","","Recommended","My parent(s) really expects me to follow family rules.","1::5","1= strongly disagree; 2=disagree; 3= I am in between; 4= agree; 5= strongly agree",""
"psii_12","Integer","","Recommended","My parent(s) really lets me get away with things.","1::5","1= strongly agree; 2=agree; 3= I am in between; 4= disagree; 5= strongly disagree",""
"psii_13","Integer","","Recommended","If I do not behave myself, my parent(s) will punish me.","1::5","1= strongly disagree; 2=disagree; 3= I am in between; 4= agree; 5= strongly agree",""
"psii_14","Integer","","Recommended","My parent(s) points out ways I could do better.","1::5","1= strongly disagree; 2=disagree; 3= I am in between; 4= agree; 5= strongly agree",""
"psii_15","Integer","","Recommended","When I do something wrong, my parent(s) does not punish me.","1::5","1= strongly agree; 2=agree; 3= I am in between; 4= disagree; 5= strongly disagree",""
"psii_er","Integer","","Recommended","Emotional Responsiveness Dimension Score","","Sum(psii_1 - psii_5); psii_1 and psii_2 are reversed items",""
"psii_dem","Integer","","Recommended","Demandingness Dimension Score","","Sum(psii_6 - psii_10); psii_6 and psii_9 are reversed items",""
"psii_pag","Integer","","Recommended","Psychological Autonomy-granting Dimension Score","","Sum(psii_11 - psii_15); psii_12 and psii_15 are reversed items",""
"timepoint_label","String","50","Recommended","Timepoint/visit label","","",""
