"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","20","Required","Subject ID how it's defined in lab/project","","","record_id"
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported","gender"
"fspgod","String","70","Recommended","Subject's gender OTHER describe","","",""
"comments_misc","String","4000","Recommended","Miscellaneous comments on study, interview, methodology relevant to this form data","","",""
"impression_management","Float","","Recommended","Impression Management: Sten Score","1::10","Sten score 1-10",""
"infrequency","Float","","Recommended","Infrequency: Sten Score","1::10","Sten score 1-10",""
"acquiescence","Float","","Recommended","Acquiescence: Sten Score","1::10","Sten score 1-10",""
"a_warmth","Float","","Recommended","Warmth: Sten Score","1::10","Sten score 1-10",""
"b_reasoning","Float","","Recommended","Reasoning: Sten Score","1::10","Sten score 1-10",""
"c_emotional_stability","Float","","Recommended","Emotional Stability: Sten Score","1::10","Sten score 1-10",""
"e_dominance","Float","","Recommended","Dominance: Sten Score","1::10","Sten score 1-10",""
"f_liveliness","Float","","Recommended","Liveliness: Sten Score","1::10","Sten score 1-10",""
"g_rule_consciousness","Float","","Recommended","Rule-Consciousness: Sten Score","1::10","Sten score 1-10",""
"h_social_boldness","Float","","Recommended","Social Boldness: Sten Score","1::10","Sten score 1-10",""
"i_sensitivity","Float","","Recommended","Sensitivity: Sten Score","1::10","Sten score 1-10",""
"l_vigilance","Float","","Recommended","Vigilance: Sten Score","1::10","Sten score 1-10",""
"m_abstractedness","Float","","Recommended","Abstractedness: Sten Score","1::10","Sten score 1-10",""
"n_privateness","Float","","Recommended","Privateness: Sten Score","1::10","Sten score 1-10",""
"o_apprehension","Float","","Recommended","Apprehension: Sten Score","1::10","Sten score 1-10",""
"q1_openness_change","Float","","Recommended","Openness to Change: Sten Score","1::10","Sten score 1-10",""
"q2_self_reliance","Float","","Recommended","Self Reliance: Sten Score","1::10","Sten score 1-10",""
"q3_perfectionism","Float","","Recommended","Perfectionism: Sten Score","1::10","Sten score 1-10",""
"q4_tension","Float","","Recommended","Tension: Sten Score","1::10","Sten score 1-10",""
"extraversion","Float","","Recommended","Extraversion: Sten Score","1::10","Sten score 1-10",""
"independence","Float","","Recommended","Independence: Sten Score","1::10","Sten score 1-10",""
"tough_mindedness","Float","","Recommended","Tough Mindedness: Sten Score","1::10","Sten score 1-10",""
"self_control","Float","","Recommended","Self Control: Sten Score","1::10","Sten score 1-10",""
"anx_sten","Float","","Recommended","Anxiety: Sten Score","1::10","Sten score 1-10","anxiety"
"impression_management_raw","Integer","","Recommended","Impression Management: Total raw score","","Total raw score",""
"infrequency_totalraw","Integer","","Recommended","Infrequency: Total raw score","","Total raw score","infrequency_raw"
"acquiescence_raw","Integer","","Recommended","Acquiescence: Total raw score","","Total raw score",""
"a_warmth_raw","Integer","","Recommended","Warmth: Total raw score","","Total raw score",""
"b_reasoning_raw","Integer","","Recommended","Reasoning: Total raw score","","Total raw score",""
"c_emotional_stability_raw","Integer","","Recommended","Emotional Stability: Total raw score","","Total raw score",""
"e_dominance_raw","Integer","","Recommended","Dominance: Total raw score","","Total raw score",""
"f_liveliness_raw","Integer","","Recommended","Liveliness: Total raw score","","Total raw score",""
"g_rule_consciousness_raw","Integer","","Recommended","Rule-Consciousness: Total raw score","","Total raw score",""
"h_social_boldness_raw","Integer","","Recommended","Social Boldness: Total raw score","","Total raw score",""
"i_sensitivity_raw","Integer","","Recommended","Sensitivity: Total raw score","","Total raw score",""
"l_vigilance_raw","Integer","","Recommended","Vigilance: Total raw score","","Total raw score",""
"m_abstractedness_raw","Integer","","Recommended","Abstractedness: Total raw score","","Total raw score",""
"n_privateness_raw","Integer","","Recommended","Privateness: Total raw score","","Total raw score",""
"o_apprehension_raw","Integer","","Recommended","Apprehension: Total raw score","","Total raw score",""
"q1_openness_change_raw","Integer","","Recommended","Openness to Change: Total raw score","","Total raw score",""
"q2_self_reliance_raw","Integer","","Recommended","Self Reliance: Total raw score","","Total raw score",""
"q3_perfectionism_raw","Integer","","Recommended","Perfectionism: Total raw score","","Total raw score",""
"q4_tension_raw","Integer","","Recommended","Tension: Total raw score","","Total raw score",""
"extraversion_raw","Integer","","Recommended","Extraversion: Total raw score","","Total raw score",""
"independence_raw","Integer","","Recommended","Independence: Total raw score","","Total raw score",""
"tough_mindedness_raw","Integer","","Recommended","Tough Mindedness: Total raw score","","Total raw score",""
"self_control_raw","Integer","","Recommended","Self Control: Total raw score","","Total raw score",""
"anxiety_totalraw","Integer","","Recommended","Anxiety: Total raw score","","Total raw score","anxiety_raw"
"impression_managementfullscale","Float","","Recommended","Impression Management: Full Scale raw score","","Full Scale raw score",""
"infrequency_fullscale","Float","","Recommended","Infrequency: Full Scale raw score","","Full Scale raw score",""
"acquiescence_fullscale","Float","","Recommended","Acquiescence: Full Scale raw score","","Full Scale raw score",""
"a_warmth_fullscale","Float","","Recommended","Warmth: Full Scale raw score","","Full Scale raw score",""
"b_reasoning_fullscale","Float","","Recommended","Reasoning: Full Scale raw score","","Full Scale raw score",""
"c_emotional_stabilityfullscale","Float","","Recommended","Emotional Stability: Full Scale raw score","","Full Scale raw score",""
"e_dominance_fullscale","Float","","Recommended","Dominance: Full Scale raw score","","Full Scale raw score",""
"f_liveliness_fullscale","Float","","Recommended","Liveliness: Full Scale raw score","","Full Scale raw score",""
"g_rule_consciousness_fullscale","Float","","Recommended","Rule-Consciousness: Full Scale raw score","","Full Scale raw score",""
"h_social_boldness_fullscale","Float","","Recommended","Social Boldness: Full Scale raw score","","Full Scale raw score",""
"i_sensitivity_fullscale","Float","","Recommended","Sensitivity: Full Scale raw score","","Full Scale raw score",""
"l_vigilance_fullscale","Float","","Recommended","Vigilance: Full Scale raw score","","Full Scale raw score",""
"m_abstractedness_fullscale","Float","","Recommended","Abstractedness: Full Scale raw score","","Full Scale raw score",""
"n_privateness_fullscale","Float","","Recommended","Privateness: Full Scale raw score","","Full Scale raw score",""
"o_apprehension_fullscale","Float","","Recommended","Apprehension: Full Scale raw score","","Full Scale raw score",""
"q1_openness_change_fullscale","Float","","Recommended","Openness to Change: Full Scale raw score","","Full Scale raw score",""
"q2_self_reliance_fullscale","Float","","Recommended","Self Reliance: Full Scale raw score","","Full Scale raw score",""
"q3_perfectionism_fullscale","Float","","Recommended","Perfectionism: Full Scale raw score","","Full Scale raw score",""
"q4_tension_fullscale","Float","","Recommended","Tension: Full Scale raw score","","Full Scale raw score",""
"extraversion_fullscale","Float","","Recommended","Extraversion: Full Scale raw score","","Full Scale raw score",""
"independence_fullscale","Float","","Recommended","Independence: Full Scale raw score","","Full Scale raw score",""
"tough_mindedness_fullscale","Float","","Recommended","Tough Mindedness: Full Scale raw score","","Full Scale raw score",""
"self_control_fullscale","Float","","Recommended","Self Control: Full Scale raw score","","Full Scale raw score",""
"anxiety_fullscale","Float","","Recommended","Anxiety: Full Scale raw score","","Full Scale raw score",""
"impression_management_pct","Float","","Recommended","Impression Management: Percentile","0::100","",""
"sixteenpf_1","String","1","Recommended","I'd enjoy more being a counselor than being an architect","a;b;c","a = true ; b = ? ; c = false",""
"sixteenpf_2","String","1","Recommended","When something upsets me, I usually get over it quite soon","a;b;c","a = true ; b = ? ; c = false",""
"sixteenpf_3","String","1","Recommended","When people do something that bothers me, I usually","a;b;c","a = let it go ; b = ? ; c = mention it to them",""
"sixteenpf_4","String","1","Recommended","I believe more in:","a;b;c","a = being properly serious in everyday life ; b = ? ; c = the saying ""laugh and be merry"" most of the time",""
"sixteenpf_5","String","1","Recommended","I'd rather see a home that:","a;b;c","a = has strict standards of behavior ; b = ? ; c = doesn't have too many rules",""
"sixteenpf_6","String","1","Recommended","I usually enjoy spending time talking with friends about social events or parties","a;b;c","a = true ; b = ? ; c = false",""
"sixteenpf_7","String","1","Recommended","I admire more:","a;b;c","a = a person who has average abilities, but strict morals ; b = ? ; c = a person who is very talented, but is sometimes not very responsible",""
"sixteenpf_8","String","1","Recommended","When I was a child, I spent more free time:","a;b;c","a = making or building something ; b = ? ; c = reading or daydreaming",""
"sixteenpf_9","String","1","Recommended","In joining a new group, I usually seem to fit in right away","a;b;c","a = true ; b = ? ; c = false",""
"sixteenpf_10","String","1","Recommended","I get excited about good plays or novels","a;b;c","a = ; b = ? ; c = false",""
"sixteenpf_11","String","1","Recommended","There's usually a big difference between what people say they'll do and what they actually do","a;b;c","a = true ; b = ? ; c = false",""
"sixteenpf_12","String","1","Recommended","My friends think I'm slightly absent-minded and not always practical","a;b;c","a = true ; b = ? ; c = false",""
"sixteenpf_13","String","1","Recommended","A lot of people will ""stab you in the back"" in order to get ahead themselves","a;b;c","a = true ; b = ? ; c = false",""
"sixteenpf_14","String","1","Recommended","I get into trouble because I sometimes pursue my own ideas without talking them over with the people involved","a;b;c","a = true ; b = ? ; c = false",""
"sixteenpf_15","String","1","Recommended","I find it easy to talk about my life, even about things that others might consider quite personal","a;b;c","a = true ; b = ? ; c = false",""
"sixteenpf_16","String","1","Recommended","I am willing to help people","a;b;c","a = always ; b = ? ; c = sometimes",""
"sixteenpf_17","String","1","Recommended","My thoughts are too deep and complicated for many people to understand","a;b;c","a = hardly ever ; b = ? ; c = often",""
"sixteenpf_18","String","1","Recommended","I prefer to:","a;b;c","a = talk about my problems with my friends ; b = ? ; c = keep them to myself",""
"sixteenpf_19","String","1","Recommended","I tend to be too sensitive and worry too much about something I've done","a;b;c","a = hardly ever ; b = ? ; c = often",""
"sixteenpf_20","String","1","Recommended","I'd prefer to deal with people who are:","a;b;c","a = conventional and polite in what they say ; b = ? ; c = direct and speak up about problems they see",""
"sixteenpf_21","String","1","Recommended","If people act as if they dislike me:","a;b;c","a = it doesn't upset me ; b = ? ; c = I usually feel hurt",""
"sixteenpf_22","String","1","Recommended","I like to think up better ways of doing things rather than to follow well-tried ways","a;b;c","a = true ; b = ? ; c = false",""
"sixteenpf_23","String","1","Recommended","I have said things that hurt others' feelings","a;b;c","a = true ; b = ? ; c = false",""
"sixteenpf_24","String","1","Recommended","If I had to cook or build something, I'd follow the directions exactly","a;b;c","a = true, why take chances ; b = ? ; c = false, I'd probably try to make it more interesting",""
"sixteenpf_25","String","1","Recommended","I like it best when I have people around me","a;b;c","a = true ; b = ? ; c = false",""
"sixteenpf_26","String","1","Recommended","I feel that:","a;b;c","a = some jobs just don't have to be done as carefully as others ; b = ? ; c = any job should be done thoroughly if you do it at all",""
