"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","20","Required","Subject ID how it's defined in lab/project","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported","gender"
"ssq1","Integer","","Recommended","Rate how likely you think it is that this new member of staff left you out on purpose in order to get one up on you.","0::5; -1; -7; -8; -9","0= Extremely Unlikely; 1= Unlikely; 2= Somewhat Unlikely; 3= Somewhat Likely; 4= Likely; 5= Extremely Likely; -1= Unanswered questions; -7= Skipped or left unanswered; -8= I don't know the answer to the question; -9= I don't want to answer the question","soc_01_a"
"ssq2","Integer","","Recommended","Some people might react to this situation by making things difficult for the new member of staff in future. Rate how likely it is that you would react in this way.","0::5; -1; -7; -8; -9","0= Extremely Unlikely; 1= Unlikely; 2= Somewhat Unlikely; 3= Somewhat Likely; 4= Likely; 5= Extremely Likely; -1= Unanswered questions; -7= Skipped or left unanswered; -8= I don't know the answer to the question; -9= I don't want to answer the question","soc_01_b"
"ssq3","Integer","","Recommended","Rate how likely you think it is that the person bumped into you on purpose.","0::5; -1; -7; -8; -9","0= Extremely Unlikely; 1= Unlikely; 2= Somewhat Unlikely; 3= Somewhat Likely; 4= Likely; 5= Extremely Likely; -1= Unanswered questions; -7= Skipped or left unanswered; -8= I don't know the answer to the question; -9= I don't want to answer the question","soc_02_a"
"ssq4","Integer","","Recommended","Some people might react to this situation by deliberately knocking into the person to pay them back. Rate how likely it is that you would react in this way.","0::5; -1; -7; -8; -9","0= Extremely Unlikely; 1= Unlikely; 2= Somewhat Unlikely; 3= Somewhat Likely; 4= Likely; 5= Extremely Likely; -1= Unanswered questions; -7= Skipped or left unanswered; -8= I don't know the answer to the question; -9= I don't want to answer the question","soc_02_b"
"ssq5","Integer","","Recommended","Rate how likely you think it is that the driver deliberately accelerated because they wanted to put you in your place.","0::5; -1; -7; -8; -9","0= Extremely Unlikely; 1= Unlikely; 2= Somewhat Unlikely; 3= Somewhat Likely; 4= Likely; 5= Extremely Likely; -1= Unanswered questions; -7= Skipped or left unanswered; -8= I don't know the answer to the question; -9= I don't want to answer the question","soc_03_a"
"ssq6","Integer","","Recommended","Some people might react to this situation by getting behind the other car and making a rude gesture at the driver. Rate how likely it is that you would react in this way.","0::5; -1; -7; -8; -9","0= Extremely Unlikely; 1= Unlikely; 2= Somewhat Unlikely; 3= Somewhat Likely; 4= Likely; 5= Extremely Likely; -1= Unanswered questions; -7= Skipped or left unanswered; -8= I don't know the answer to the question; -9= I don't want to answer the question","soc_03_b"
"ssq7","Integer","","Recommended","Rate how likely you think it is that your friend told the story in order to make you look bad.","0::5; -1; -7; -8; -9","0= Extremely Unlikely; 1= Unlikely; 2= Somewhat Unlikely; 3= Somewhat Likely; 4= Likely; 5= Extremely Likely; -1= Unanswered questions; -7= Skipped or left unanswered; -8= I don't know the answer to the question; -9= I don't want to answer the question","soc_04_a"
"ssq8","Integer","","Recommended","Some people might react to this situation by telling their friend to shut up and leaving the table. Rate how likely it is that you would react in this way.","0::5; -1; -7; -8; -9","0= Extremely Unlikely; 1= Unlikely; 2= Somewhat Unlikely; 3= Somewhat Likely; 4= Likely; 5= Extremely Likely; -1= Unanswered questions; -7= Skipped or left unanswered; -8= I don't know the answer to the question; -9= I don't want to answer the question","soc_04_b"
"ssq9","Integer","","Recommended","Rate how likely you think it is that your boss is picking on you today.","0::5; -1; -7; -8; -9","0= Extremely Unlikely; 1= Unlikely; 2= Somewhat Unlikely; 3= Somewhat Likely; 4= Likely; 5= Extremely Likely; -1= Unanswered questions; -7= Skipped or left unanswered; -8= I don't know the answer to the question; -9= I don't want to answer the question","soc_05_a"
"ssq10","Integer","","Recommended","Some people might feel ill-treated by their boss in this situation and let them know that they are angry. Rate how likely it is that you would react in this way","0::5; -1; -7; -8; -9","0= Extremely Unlikely; 1= Unlikely; 2= Somewhat Unlikely; 3= Somewhat Likely; 4= Likely; 5= Extremely Likely; -1= Unanswered questions; -7= Skipped or left unanswered; -8= I don't know the answer to the question; -9= I don't want to answer the question","soc_05_b"
"ssq11","Integer","","Recommended","Rate how likely you think it is that this new member of staff left you out on purpose in order to get one up on you.","0::5; -1; -7; -8; -9","0= Extremely Unlikely; 1= Unlikely; 2= Somewhat Unlikely; 3= Somewhat Likely; 4= Likely; 5= Extremely Likely; -1= Unanswered questions; -7= Skipped or left unanswered; -8= I don't know the answer to the question; -9= I don't want to answer the question",""
"ssq12","Integer","","Recommended","Some people might react to this situation by making things difficult for the new member of staff in future. Rate how likely it is that you would react in this way.","0::5; -1; -7; -8; -9","0= Extremely Unlikely; 1= Unlikely; 2= Somewhat Unlikely; 3= Somewhat Likely; 4= Likely; 5= Extremely Likely; -1= Unanswered questions; -7= Skipped or left unanswered; -8= I don't know the answer to the question; -9= I don't want to answer the question",""
"ssq13","Integer","","Recommended","Rate how likely you think it is that the person bumped into you on purpose.","0::5; -1; -7; -8; -9","0= Extremely Unlikely; 1= Unlikely; 2= Somewhat Unlikely; 3= Somewhat Likely; 4= Likely; 5= Extremely Likely; -1= Unanswered questions; -7= Skipped or left unanswered; -8= I don't know the answer to the question; -9= I don't want to answer the question",""
"ssq14","Integer","","Recommended","Some people might react to this situation by deliberately knocking into the person to pay them back. Rate how likely it is that you would react in this way.","0::5; -1; -7; -8; -9","0= Extremely Unlikely; 1= Unlikely; 2= Somewhat Unlikely; 3= Somewhat Likely; 4= Likely; 5= Extremely Likely; -1= Unanswered questions; -7= Skipped or left unanswered; -8= I don't know the answer to the question; -9= I don't want to answer the question",""
"ssq15","Integer","","Recommended","Rate how likely you think it is that the driver deliberately accelerated because they wanted to put you in your place.","0::5; -1; -7; -8; -9","0= Extremely Unlikely; 1= Unlikely; 2= Somewhat Unlikely; 3= Somewhat Likely; 4= Likely; 5= Extremely Likely; -1= Unanswered questions; -7= Skipped or left unanswered; -8= I don't know the answer to the question; -9= I don't want to answer the question",""
"ssq16","Integer","","Recommended","Some people might react to this situation by getting behind the other car and making a rude gesture at the driver. Rate how likely it is that you would react in this way.","0::5; -1; -7; -8; -9","0= Extremely Unlikely; 1= Unlikely; 2= Somewhat Unlikely; 3= Somewhat Likely; 4= Likely; 5= Extremely Likely; -1= Unanswered questions; -7= Skipped or left unanswered; -8= I don't know the answer to the question; -9= I don't want to answer the question",""
"ssq17","Integer","","Recommended","Rate how likely you think it is that your friend told the story in order to make you look bad.","0::5; -1; -7; -8; -9","0= Extremely Unlikely; 1= Unlikely; 2= Somewhat Unlikely; 3= Somewhat Likely; 4= Likely; 5= Extremely Likely; -1= Unanswered questions; -7= Skipped or left unanswered; -8= I don't know the answer to the question; -9= I don't want to answer the question",""
