"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","20","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported","gender"
"ssd01","Integer","","Recommended","Right now things around me seem unreal or dream like ?","1::10","1= Not at all; 10= Very much so",""
"ssd02","Integer","","Recommended","Things around me look different right now from the way they usually do?","1::10","1= Not at all; 10= Very much so",""
"ssd03","Integer","","Recommended","At this moment it is as if I am looking at things around me through a fog?","1::10","1= Not at all; 10= Very much so",""
"ssd04","Integer","","Recommended","At this moment I feel far away from what is happening around me?","1::10","1= Not at all; 10= Very much so",""
"ssd05","Integer","","Recommended","Right now things around me are looking smaller than they usually do?","1::10","1= Not at all; 10= Very much so",""
"ssd06","Integer","","Recommended","Right now things around me are looking much larger than they usually do?","1::10","1= Not at all; 10= Very much so",""
"ssd07","Integer","","Recommended","I am in a world of my own at this moment?","1::10","1= Not at all; 10= Very much so",""
"ssd08","Integer","","Recommended","I am in a trance now?","1::10","1= Not at all; 10= Very much so",""
"ssd09","Integer","","Recommended","At this moment my body feels vague, indefinite, strange?","1::10","1= Not at all; 10= Very much so",""
"ssd10","Integer","","Recommended","Right now my body seems disconnected from my thoughts, my feelings, my self?","1::10","1= Not at all; 10= Very much so",""
"ssd11","Integer","","Recommended","It feels as if I am going through the motions of living, but the real me is far away from what is happening to me now?","1::10","1= Not at all; 10= Very much so",""
"ssd12","Integer","","Recommended","It feels as if I am watching my body from a ?distance now?","1::10","1= Not at all; 10= Very much so",""
"ssd13","Integer","","Recommended","If feels now as if parts of my body or my whole being is unreal?","1::10","1= Not at all; 10= Very much so",""
"ssd14","Integer","","Recommended","My hands or feet or other parts of my body are feeling as if they have just changed in size?","1::10","1= Not at all; 10= Very much so",""
"ssd15","Integer","","Recommended","Right now I am feeling like a stranger to myself?","1::10","1= Not at all; 10= Very much so",""
"ssd16","Integer","","Recommended","It seems that my emotions or thoughts are not all my own at this moment?","1::10","1= Not at all; 10= Very much so",""
"ssd17","Integer","","Recommended","Right now I do not feel like my real self?","1::10","1= Not at all; 10= Very much so",""
"ssd18","Integer","","Recommended","This is not me?","1::10","1= Not at all; 10= Very much so",""
"ssd19","Integer","","Recommended","Right now I do not know who I really am?","1::10","1= Not at all; 10= Very much so",""
"ssd20","Integer","","Recommended","I do not feel like a whole person now?","1::10","1= Not at all; 10= Very much so",""
"ssd21","Integer","","Recommended","There is a struggle going on inside of me?","1::10","1= Not at all; 10= Very much so",""
"ssd22","Integer","","Recommended","I am feeling torn between one thing and another r?","1::10","1= Not at all; 10= Very much so",""
"ssd23","Integer","","Recommended","There is a dialogue in my head now?","1::10","1= Not at all; 10= Very much so",""
"ssd24","Integer","","Recommended","My inner voices are talking?","1::10","1= Not at all; 10= Very much so",""
"ssd25","Integer","","Recommended","Right now we are more than one person looking at this statement?","1::10","1= Not at all; 10= Very much so",""
"ssd26","Integer","","Recommended","Someone else is about to enter now (for example the child)?","1::10","1= Not at all; 10= Very much so",""
"ssd27","Integer","","Recommended","Right now there is another person waiting to come out and take control of my actions and speech?","1::10","1= Not at all; 10= Very much so",""
"ssd28","Integer","","Recommended","Another person wants to take over now?","1::10","1= Not at all; 10= Very much so",""
"ssd29","Integer","","Recommended","Someone else is in control now?","1::10","1= Not at all; 10= Very much so",""
"ssd30","Integer","","Recommended","It feels as if I am being possessed by something or someone?","1::10","1= Not at all; 10= Very much so",""
"ssd31","Integer","","Recommended","I am not in control of my emotions right now?","1::10","1= Not at all; 10= Very much so",""
"ssd32","Integer","","Recommended","My mood is changing right now (for example into anger, anxiety, happiness, or a feeling of mystical awareness)?","1::10","1= Not at all; 10= Very much so",""
"ssd33","Integer","","Recommended","I am unusually weak or paralyzed in one or more of my muscles now?","1::10","1= Not at all; 10= Very much so",""
"ssd34","Integer","","Recommended","I am feeling immobile like a statue, while being aware of what is going on around me?","1::10","1= Not at all; 10= Very much so",""
"ssd35","Integer","","Recommended","If I try to speak now, my voice will be gone or different from usually.","1::10","1= Not at all; 10= Very much so",""
"ssd36","Integer","","Recommended","I cannot control my speech now?","1::10","1= Not at all; 10= Very much so",""
"ssd37","Integer","","Recommended","My skin sensation is abnormal at this moment?","1::10","1= Not at all; 10= Very much so",""
"ssd38","Integer","","Recommended","I have numbness in one or more places on my skin now?","1::10","1= Not at all; 10= Very much so",""
"ssd39","Integer","","Recommended","I feel as if I am going to faint now?","1::10","1= Not at all; 10= Very much so",""
"ssd40","Integer","","Recommended","It feels as if I am about to have a fit or a seizure of some kind now?","1::10","1= Not at all; 10= Very much so",""
"ssd41","Integer","","Recommended","I am having difficulty taking in new information?","1::10","1= Not at all; 10= Very much so",""
"ssd42","Integer","","Recommended","I am forgetting what I want to do or say?","1::10","1= Not at all; 10= Very much so",""
"ssd43","Integer","","Recommended","I do not remember much of what has happened so far today?","1::10","1= Not at all; 10= Very much so",""
"ssd44","Integer","","Recommended","I think I may have forgotten to tick one or more of the preceding statements?","1::10","1= Not at all; 10= Very much so",""
"ssd45","Integer","","Recommended","I am feeling quite uncertain of where we are in time?","1::10","1= Not at all; 10= Very much so",""
"ssd46","Integer","","Recommended","I am feeling uncertain of how I arrived at this place today?","1::10","1= Not at all; 10= Very much so",""
"ssd47","Integer","","Recommended","This situation feels as if it has happened before in exactly the same way?","1::10","1= Not at all; 10= Very much so",""
"ssd48","Integer","","Recommended","I am having a strange feeling as if I know what will happen next?","1::10","1= Not at all; 10= Very much so",""
"ssd49","Integer","","Recommended","I am remembering things that I have not thought about for some time?","1::10","1= Not at all; 10= Very much so",""
"ssd50","Integer","","Recommended","Unwanted memories are entering my mind?","1::10","1= Not at all; 10= Very much so",""
"ssd51","Integer","","Recommended","I am seeing a past event in my mind's eye right now?","1::10","1= Not at all; 10= Very much so",""
"ssd52","Integer","","Recommended","I am experiencing a flashback now?","1::10","1= Not at all; 10= Very much so",""
"ssd53","Integer","","Recommended","It feels as if some past event is occurring again now?","1::10","1= Not at all; 10= Very much so",""
"ssd54","Integer","","Recommended","I am hearing one of my memories now?","1::10","1= Not at all; 10= Very much so",""
"ssd55","Integer","","Recommended","I am experiencing a smell now that reminds me of something in my past?","1::10","1= Not at all; 10= Very much so",""
"ssd56","Integer","","Recommended","Right now there is a taste in my mouth that reminds me of something in my past.","1::10","1= Not at all; 10= Very much so",""
"ssd_der","Integer","","Recommended","Derealization scale score","","",""
"ssd_dep","Integer","","Recommended","Depersonalization scale score","","",""
"ssd_idc","Integer","","Recommended","Identity confusion scale score","","",""
"ssd_ida","Integer","","Recommended","Identity alteration scale score","","",""
"ssd_conv","Integer","","Recommended","Conversion scale score","","",""
"ssd_amn","Integer","","Recommended","Amnesia scale score","","",""
