"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","20","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported",""
"taskorder","String","100","Recommended","Order of the cognitive tasks","","",""
"blockcode","String","20","Recommended","Block code","","",""
"trial_description","String","100","Recommended","Description of the trial","","",""
"task_version_prlt01","String","50","Recommended","Task version","","",""
"gameorder","Integer","","Recommended","Order of the versions of the Bandit","1;2","1=Coin first; 2=Social first",""
"date_task","Date","","Recommended","Date on which the participants played the task","","MM/DD/YYYY",""
"tasktime","String","8","Recommended","Time at which the participant started the task","","HH:MM:SS",""
"trial","Integer","","Recommended","Trial number","0::9999; -777; -999","1 = first; 2= second; 3=third; 4=fourth; 5=fifth; 6=sixth; etc; -777=NA, -999=missing",""
"game_number","Integer","","Recommended","Game number","","",""
"repeat_current_game_round","String","100","Recommended","Indicates if the current game will be repeated","","If the participant does not decide within 20 seconds, the computer asks �are you still there?�. If the participants responds to this by pressing a button, the round is restarted.",""
"buttonpress","String","100","Recommended","Key pressed by participant in this trial","","1=Arm 1; 2=Arm 2; 3=Arm 3; space or enter or other keys may be pressed during check, so that the participant can indicate that they are still there",""
"reward","Integer","","Recommended","Whether a reward was received on the current trial","0;1","0=No reward; 1=Reward",""
"decisiontime","Float","","Recommended","Time since start of game until participant can start deciding for this trial","","milliseconds",""
"buttonpresstime","Float","","Recommended","Time since start of game until participant pressed a button on this trial","","milliseconds",""
"rt","Float","","Recommended","Reaction Time","","-1 = NaN",""
"rr1","Float","","Recommended","Reward rate of arm 1","0::100","Percentage of time it will provide a reward",""
"rr2","Float","","Recommended","Reward rate of arm 2","0::100","Percentage of time it will provide a reward",""
"rr3","Float","","Recommended","Reward rate of arm 3","0::100","Percentage of time it will provide a reward",""
"feedbackmessage","String","500","Recommended","Feedback presented to participant at end of trial (in original language)","","",""
"total_points_version","Integer","","Recommended","Total points earned by participant within this version of the Bandit","","",""
"combined_points","Integer","","Recommended","Total points earned by participant across both versions of the Bandit","","",""
"image1_info","String","100","Recommended","Description of virtual player 1 (social Bandit only)","","Man=Male; Vrouw=Female",""
"image2_info","String","100","Recommended","Description of virtual player 2 (social Bandit only)","","Man=Male; Vrouw=Female",""
"image3_info","String","100","Recommended","Description of virtual player 3 (social Bandit only)","","Man=Male; Vrouw=Female",""
"reward_seed_1","Integer","","Recommended","Chance of reward for slot 2","0::100","0= No chance; 100 = Reward guaranteed if chosen",""
"reward_seed_2","Integer","","Recommended","Chance of reward for slot 3","0::100","0= No chance; 100 = Reward guaranteed if chosen",""
"cumulative_rewards","Integer","","Recommended","Cumulative rewards up to that trial","0::300","",""
"response_slot","Integer","","Recommended","The position of the selection","0::2","0 = Slot 1; 1 = Slot 2; 2 = Slot 3",""
"time_24hr","Integer","","Recommended","The time the task was started on a 24 clock","","000000= 12 am; 235959= 11:59:59 pm",""
"group_id","String","20","Recommended","Assigned group ID number","","",""
"session_number","Integer","","Recommended","Session number","","",""
"array_on_t","Integer","","Recommended","Time the trial started on a 24 hour clock","","000000= 12 am; 235959= 11:59:59 pm",""
"choice_t","Integer","","Recommended","Time the choice was made on a 24 hour clock","","000000= 12 am; 235959= 11:59:59 pm",""
"choice_slot","Integer","","Recommended","Which slot was chosen","0::2","0 = Slot 1; 1 = Slot 2; 2 = Slot 3",""
"reward_seed_0","Integer","","Recommended","Chance of reward for slot 1","0::100","0= No chance; 100 = Reward guaranteed if chosen",""
