"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","20","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported","gender"
"mssess","Integer","","Recommended","Session number this measure was based on","0::26 ; 55; 56;57; -9","0 = Pre; 1 = Session 1; 2 = Session 2; 3 = Session 3; 4 = Session 4; 5 = Session 5; 6 = Session 6; 7 = Session 7; 8 = Session 8; 9 = Session 9; 10 = Session 10; 11 = Session 11; 12 = Session 12; 13 = Session 13; 14 = Session 14; 15 = Session 15; 16 = Session 16; 17 = Session 17; 18 = Session 18; 19 = Session 19; 20 = Session 20; 21 = Session 21; 22 = Session 22; 23 = Session 23; 24 = Session 24; 25 = Session 25; 26 = Session 26; 55 = Post; 56 = 6 month follow-up; 57 = 12 month follow-up","tarssess"
"tarrec","Integer","","Recommended","To what extent was your client receptive of the content of this session","0; 10; 20; 30; 40; 50; 60; 70; 80;90; 100; -9","On a likert scale: 0 = 0% (not receptive);  10 = 10%; 20 = 20%; 30 = 30%;  40 =  40%; 50 = 50%; 60 = 60%; 70 = 70%; 80 = 80%; 90 = 90%; 100 = 100%; -9 = missing",""
"tarund","Integer","","Recommended","To what extent did your client understand of the content of this session","0; 10; 20; 30; 40; 50; 60; 70; 80;90; 100; -9","On a likert scale: 0 = 0% (not receptive);  10 = 10%; 20 = 20%; 30 = 30%;  40 =  40%; 50 = 50%; 60 = 60%; 70 = 70%; 80 = 80%; 90 = 90%; 100 = 100%; -9 = missing",""
"taragree","Integer","","Recommended","To what extent did your client agree with the content of this session","0; 10; 20; 30; 40; 50; 60; 70; 80;90; 100; -9","On a likert scale: 0 = 0% (not receptive);  10 = 10%; 20 = 20%; 30 = 30%;  40 =  40%; 50 = 50%; 60 = 60%; 70 = 70%; 80 = 80%; 90 = 90%; 100 = 100%; -9 = missing",""
"tarprac","Integer","","Recommended","To what extent did your client complete the practice excerises outside of session","0; 10; 20; 30; 40; 50; 60; 70; 80;90; 100; -7; -9","On a likert scale: 0 = 0% (not receptive);  10 = 10%; 20 = 20%; 30 = 30%;  40 =  40%; 50 = 50%; 60 = 60%; 70 = 70%; 80 = 80%; 90 = 90%; 100 = 100%; -7 =N/A; -9 = missing",""
"taradh","Integer","","Recommended","Overall,  for this past week, please rate the extent to which your client adhere to instructions/recommendations of the treatment","0; 10; 20; 30; 40; 50; 60; 70; 80;90; 100; -7; -9","On a likert scale: 0 = 0% (not receptive);  10 = 10%; 20 = 20%; 30 = 30%;  40 =  40%; 50 = 50%; 60 = 60%; 70 = 70%; 80 = 80%; 90 = 90%; 100 = 100%; -7 =N/A; -9 = missing",""
"tarmas","Integer","","Recommended","Overall,  for this past week, please rate the extent to which your client mastered the skills learned in therapy","0; 10; 20; 30; 40; 50; 60; 70; 80;90; 100; -7; -9","On a likert scale: 0 = 0% (not receptive);  10 = 10%; 20 = 20%; 30 = 30%;  40 =  40%; 50 = 50%; 60 = 60%; 70 = 70%; 80 = 80%; 90 = 90%; 100 = 100%; -7 =N/A; -9 = missing",""
