"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","20","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported",""
"teaq01","Integer","","Recommended","I dislike people being very physically affectionate towards me","1 :: 5","1= Disagree Strongly; 2= Disagree A Little; 3= Neither Agree nor Disagree; 4= Agree A Little; 5= Agree Strongly",""
"teaq02","Integer","","Recommended","I like using body lotions","1 :: 5","1= Disagree Strongly; 2= Disagree A Little; 3= Neither Agree nor Disagree; 4= Agree A Little; 5= Agree Strongly",""
"teaq03","Integer","","Recommended","I have to know someone quite well to enjoy a hug from them","1 :: 5","1= Disagree Strongly; 2= Disagree A Little; 3= Neither Agree nor Disagree; 4= Agree A Little; 5= Agree Strongly",""
"teaq04","Integer","","Recommended","I find it natural to greet my friends with a kiss on the cheek","1 :: 5","1= Disagree Strongly; 2= Disagree A Little; 3= Neither Agree nor Disagree; 4= Agree A Little; 5= Agree Strongly",""
"teaq05","Integer","","Recommended","There was a lot of physical affection during my childhood","1 :: 5","1= Disagree Strongly; 2= Disagree A Little; 3= Neither Agree nor Disagree; 4= Agree A Little; 5= Agree Strongly",""
"teaq06","Integer","","Recommended","As a child I would often hug family members","1 :: 5","1= Disagree Strongly; 2= Disagree A Little; 3= Neither Agree nor Disagree; 4= Agree A Little; 5= Agree Strongly",""
"teaq07","Integer","","Recommended","I like to use bath essence when having a bath","1 :: 5","1= Disagree Strongly; 2= Disagree A Little; 3= Neither Agree nor Disagree; 4= Agree A Little; 5= Agree Strongly",""
"teaq08","Integer","","Recommended","I find stroking the hair of a person I am fond of very pleasurable","1 :: 5","1= Disagree Strongly; 2= Disagree A Little; 3= Neither Agree nor Disagree; 4= Agree A Little; 5= Agree Strongly",""
"teaq09","Integer","","Recommended","My parents were not very physically affectionate towards me during my childhood","1 :: 5","1= Disagree Strongly; 2= Disagree A Little; 3= Neither Agree nor Disagree; 4= Agree A Little; 5= Agree Strongly",""
"teaq10","Integer","","Recommended","I like to fall asleep in the arms of someone I am close to","1 :: 5","1= Disagree Strongly; 2= Disagree A Little; 3= Neither Agree nor Disagree; 4= Agree A Little; 5= Agree Strongly",""
"teaq11","Integer","","Recommended","I often snuggle up on the sofa with someone","1 :: 5","1= Disagree Strongly; 2= Disagree A Little; 3= Neither Agree nor Disagree; 4= Agree A Little; 5= Agree Strongly",""
"teaq12","Integer","","Recommended","I enjoy the physical intimacy of sexual foreplay","1 :: 5","1= Disagree Strongly; 2= Disagree A Little; 3= Neither Agree nor Disagree; 4= Agree A Little; 5= Agree Strongly",""
"teaq13","Integer","","Recommended","I like to link arms with my friends and family as I walk along","1 :: 5","1= Disagree Strongly; 2= Disagree A Little; 3= Neither Agree nor Disagree; 4= Agree A Little; 5= Agree Strongly",""
"teaq14","Integer","","Recommended","I usually hug my family and friends when I am saying goodbye","1 :: 5","1= Disagree Strongly; 2= Disagree A Little; 3= Neither Agree nor Disagree; 4= Agree A Little; 5= Agree Strongly",""
"teaq15","Integer","","Recommended","As a child I found a hug from my parents when I was upset made me feel much happier","1 :: 5","1= Disagree Strongly; 2= Disagree A Little; 3= Neither Agree nor Disagree; 4= Agree A Little; 5= Agree Strongly",""
"teaq16","Integer","","Recommended","It's nice when friends and family members greet me with a kiss","1 :: 5","1= Disagree Strongly; 2= Disagree A Little; 3= Neither Agree nor Disagree; 4= Agree A Little; 5= Agree Strongly",""
"teaq17","Integer","","Recommended","I often hold hands with someone I know intimately","1 :: 5","1= Disagree Strongly; 2= Disagree A Little; 3= Neither Agree nor Disagree; 4= Agree A Little; 5= Agree Strongly",""
"teaq18","Integer","","Recommended","When I am upset, there is usually someone who can comfort me","1 :: 5","1= Disagree Strongly; 2= Disagree A Little; 3= Neither Agree nor Disagree; 4= Agree A Little; 5= Agree Strongly",""
"teaq19","Integer","","Recommended","Kissing is a great way of expressing physical attraction","1 :: 5","1= Disagree Strongly; 2= Disagree A Little; 3= Neither Agree nor Disagree; 4= Agree A Little; 5= Agree Strongly",""
"teaq20","Integer","","Recommended","It feels really good when someone I am fond of runs their fingers through my hair","1 :: 5","1= Disagree Strongly; 2= Disagree A Little; 3= Neither Agree nor Disagree; 4= Agree A Little; 5= Agree Strongly",""
"teaq21","Integer","","Recommended","I regularly hug people I am close to","1 :: 5","1= Disagree Strongly; 2= Disagree A Little; 3= Neither Agree nor Disagree; 4= Agree A Little; 5= Agree Strongly",""
"teaq22","Integer","","Recommended","As a child my parents would tuck me up in bed every night and give me a hug and a kiss goodnight","1 :: 5","1= Disagree Strongly; 2= Disagree A Little; 3= Neither Agree nor Disagree; 4= Agree A Little; 5= Agree Strongly",""
"teaq23","Integer","","Recommended","My life lacks physical affection","1 :: 5","1= Disagree Strongly; 2= Disagree A Little; 3= Neither Agree nor Disagree; 4= Agree A Little; 5= Agree Strongly",""
"teaq24","Integer","","Recommended","I enjoy having my skin stroked","1 :: 5","1= Disagree Strongly; 2= Disagree A Little; 3= Neither Agree nor Disagree; 4= Agree A Little; 5= Agree Strongly",""
"teaq25","Integer","","Recommended","I often take a shower or bath with someone","1 :: 5","1= Disagree Strongly; 2= Disagree A Little; 3= Neither Agree nor Disagree; 4= Agree A Little; 5= Agree Strongly",""
"teaq26","Integer","","Recommended","I enjoy having sex","1 :: 5","1= Disagree Strongly; 2= Disagree A Little; 3= Neither Agree nor Disagree; 4= Agree A Little; 5= Agree Strongly",""
"teaq27","Integer","","Recommended","I often have sex","1 :: 5","1= Disagree Strongly; 2= Disagree A Little; 3= Neither Agree nor Disagree; 4= Agree A Little; 5= Agree Strongly",""
"teaq28","Integer","","Recommended","I am put off by physical familiarity","1 :: 5","1= Disagree Strongly; 2= Disagree A Little; 3= Neither Agree nor Disagree; 4= Agree A Little; 5= Agree Strongly",""
"teaq29","Integer","","Recommended","I can always find somebody to physically comfort me when I am upset","1 :: 5","1= Disagree Strongly; 2= Disagree A Little; 3= Neither Agree nor Disagree; 4= Agree A Little; 5= Agree Strongly",""
"teaq30","Integer","","Recommended","I always greet my friends and family by giving them a hug","1 :: 5","1= Disagree Strongly; 2= Disagree A Little; 3= Neither Agree nor Disagree; 4= Agree A Little; 5= Agree Strongly",""
"teaq31","Integer","","Recommended","I enjoy being cuddled by someone I am fond of","1 :: 5","1= Disagree Strongly; 2= Disagree A Little; 3= Neither Agree nor Disagree; 4= Agree A Little; 5= Agree Strongly",""
"teaq32","Integer","","Recommended","My mother regularly bathed me as a child","1 :: 5","1= Disagree Strongly; 2= Disagree A Little; 3= Neither Agree nor Disagree; 4= Agree A Little; 5= Agree Strongly",""
"teaq33","Integer","","Recommended","As a child my parents always comforted me when I was upset","1 :: 5","1= Disagree Strongly; 2= Disagree A Little; 3= Neither Agree nor Disagree; 4= Agree A Little; 5= Agree Strongly",""
"teaq34","Integer","","Recommended","I enjoy the feeling of my skin against someone elses if I know them intimately","1 :: 5","1= Disagree Strongly; 2= Disagree A Little; 3= Neither Agree nor Disagree; 4= Agree A Little; 5= Agree Strongly",""
"teaq35","Integer","","Recommended","As a child my parents would often hold my hand when I was walking along with them","1 :: 5","1= Disagree Strongly; 2= Disagree A Little; 3= Neither Agree nor Disagree; 4= Agree A Little; 5= Agree Strongly",""
"teaq36","Integer","","Recommended","Most days I get a hug or a kiss","1 :: 5","1= Disagree Strongly; 2= Disagree A Little; 3= Neither Agree nor Disagree; 4= Agree A Little; 5= Agree Strongly",""
"teaq37","Integer","","Recommended","If someone I do not know very well puts a friendly hand on my arm it makes me feel uncomfortable","1 :: 5","1= Disagree Strongly; 2= Disagree A Little; 3= Neither Agree nor Disagree; 4= Agree A Little; 5= Agree Strongly",""
"teaq38","Integer","","Recommended","I often make physical contact with my friends and family when I am with them","1 :: 5","1= Disagree Strongly; 2= Disagree A Little; 3= Neither Agree nor Disagree; 4= Agree A Little; 5= Agree Strongly",""
"teaq39","Integer","","Recommended","It makes me feel uncomfortable if someone I don't know very well touches me in a friendly manner","1 :: 5","1= Disagree Strongly; 2= Disagree A Little; 3= Neither Agree nor Disagree; 4= Agree A Little; 5= Agree Strongly",""
"teaq40","Integer","","Recommended","I enjoy holding hands with someone I am fond of","1 :: 5","1= Disagree Strongly; 2= Disagree A Little; 3= Neither Agree nor Disagree; 4= Agree A Little; 5= Agree Strongly",""
"teaq41","Integer","","Recommended","I often share a romantic kiss","1 :: 5","1= Disagree Strongly; 2= Disagree A Little; 3= Neither Agree nor Disagree; 4= Agree A Little; 5= Agree Strongly",""
"teaq42","Integer","","Recommended","As a child my mother regularly brushed my hair","1 :: 5","1= Disagree Strongly; 2= Disagree A Little; 3= Neither Agree nor Disagree; 4= Agree A Little; 5= Agree Strongly",""
