"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","20","Required","Subject ID how it's defined in lab/project","","","id"
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","","adate,date_hollings"
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.","age_at_test"
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported","gender"
"n2_severity","Integer","","Recommended","N2. Poverty of speech - Severity","0::4","0 = Absent; 1 = Minimal. Very mild sx or only suspected; 2 = Moderate. Definite, clinically significant sx; 3 = Severe. Clearly interferes with function or preoccupies subject; 4 = Very severe. Gross and/or nearly constant effect on function","poverty_of_speech"
"poverty_content","Integer","","Recommended","Poverty of content of speech","0::4","0 = No poverty of content of speech ; 1 = Mild poverty of content of speech; 2 = Moderate poverty of content of speech; 3 = Severe  poverty of content of speech; 4 = Extreme poverty of content of speech",""
"pressure_speech","Integer","","Recommended","Pressure of speech","0::4","0 = No pressure of speech ; 1 = Slight pressure of speech; 2 = Moderate pressure of speech; 3 = Severe pressure of speech; 4 = Extreme pressure of speech",""
"distractible_speech","Integer","","Recommended","Distractible speech","0::4","0 = Absent; 1 = Mild; 2 = Moderate; 3 = Severe; 4 = Extreme",""
"tangentiality","Integer","","Recommended","Tangentiality","0::4","0 = No tangentiality; 1 = Mild; 2 = Moderate; 3 = Extreme",""
"derailment","Integer","","Recommended","Derailment","0::4","0 = No derailment; 1 = Mild; 2 = Moderate; 3 = Severe; 4 = Extreme",""
"incoherence","Integer","","Recommended","Incoherence","0::4","0 = No incoherence; 1 = Mild; 2 = Moderate; 3 = Severe; 4 = Extreme",""
"illogicality","Integer","","Recommended","Illogicality","0::4","0 = No illogicality; 1 = Mild; 2 = Moderate; 3 = Severe; 4 = Extreme",""
"clanging","Integer","","Recommended","Clanging","0::4","0 = No clanging; 1 = Mild; 2 = Moderate; 3 = Severe; 4 = Extreme",""
"neologisms","Integer","","Recommended","Neologisms","0::3","0 = Absent; 1 = Mild; 2 = Moderate; 3 = Severe",""
"word_approximations","Integer","","Recommended","Word approximations","0::3","0 = Absent; 1 = Mild; 2 = Moderate; 3 = Severe",""
"circumstantiality","Integer","","Recommended","Circumstantiality","0::3","0 = No circumstantiality; 1 = Mild; 2 = Moderate; 3 = Severe",""
"loss_goal","Integer","","Recommended","Loss of goal","0::3","0 = No loss of goal; 1 = Mild; 2 = Moderate; 3 = Severe",""
"preservation","Integer","","Recommended","Preservation","0::3","0 = No preservation; 1 = Mild; 2 = Moderate; 3 = Severe",""
"echolalia","Integer","","Recommended","Echolalia","0::3","0 = Absent; 1 = Mild; 2 = Moderate; 3 = Severe",""
"blocking","Integer","","Recommended","Blocking","0::3","0 = Absent; 1 = Mild; 2 = Moderate; 3 = Severe",""
"stilted_speech","Integer","","Recommended","Stilted speech","0::3","0 = No stilted speech; 1 = Mild; 2 = Moderate; 3 = Severe",""
"self_reference","Integer","","Recommended","Self-reference","0::3","0 = Absent; 1 = Mild; 2 = Moderate; 3 = Severe",""
"paraphasia_phonemic","Integer","","Recommended","Phonemic Paraphasia","0::4","0 = No instances of phonemic paraphasia; 1 = Mild; 2 = Moderate; 3 = Severe; 4 = Extreme",""
"paraphasia_semantic","Integer","","Recommended","Semantic Paraphasia","0::4","0 = No instances of semantic paraphasia; 1 = Mild; 2 = Moderate; 3 = Severe; 4 = Extreme",""
"global_rating","Integer","","Recommended","Global rating","0::4","0 = No TLC disorder; 1 = Mild TLC disorder; 2 = Moderate TLC disorder; 3 = Severe TLC disorder; 4 = Extreme TLC disorder",""
"summative_rating","Integer","","Recommended","Summative score, derived by doubling ""More Pathological"" scores and adding them to the ""Less Pathological"" scores","0::97","",""
