"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","20","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported",""
"timepoint_label","String","50","Recommended","Timepoint/visit label","","",""
"tmb_add_assessment_types","Integer","","Recommended","Type of Assessment","1;2","1= Baseline; 2= EMA",""
"tmb_add_trial","Integer","","Recommended","Trial Counter","","",""
"tmb_add_trial_type","Integer","","Recommended","Trial Type","1 :: 5","1= catch, trials trying to catch careless responding for quality control purposes; 2= two weeks; 3= one month; 4= one year; 5= ten years",""
"tmb_add_type_num","Integer","","Recommended","Trial Counter for a particular trial type","","",""
"tmb_add_choice_ab","Integer","","Recommended","Participant's choicen value","1;2","1= present value; 2= future value",""
"tmb_add_current_a","Integer","","Recommended","Value for the present choice (Value for the future choice is always $1000)","","",""
"tmb_add_current_k","Float","","Recommended","Discounting factor 'k' computed for the present trial (or boolean correct [0,1] for catch trials): k = [(a/v)-1]/d; a = future value ($1000); v = current value, computed as present value adjusted; d = delay in days","","k = [(a/v)-1]/d; a = future value ($1000) ; v = current value, computed as present value adjusted; d = delay in days",""
"tmb_add_trial_rt","Float","","Recommended","Reaction time of the trial (ms)","","",""
"tmb_add_state","Integer","","Recommended","Event triggered by the response","1 :: 3","1= timeout, no response until timeout; 2= mouseup, pointerup.mouse, mouse click; 3= touchend, pointerup.touch, touchscreen touch",""
"tmb_add_score","Float","","Recommended","Time (in months) it takes for value to halve, computed as inverse of average of final Ks over all delays.","","",""
"tmb_add_catch_score","Float","","Recommended","Accuracy for catch trials (proportion)","","",""
"tmb_add_meanrt","Float","","Recommended","Average reaction time of all trials (ms)","","",""
"tmb_add_medianrt","Float","","Recommended","Median reaction time of all trials (ms)","","",""
"tmb_add_sdrt","Float","","Recommended","Standard deviation of reaction times of all trials (ms)","","",""
"tmb_add_lnk","Float","","Recommended","Natual logarithm of the average of all Ks","","",""
"tmb_add_twoweeks_lnk","Float","","Recommended","two-weeks ln(k)","","",""
"tmb_add_onemonth_lnk","Float","","Recommended","one-month ln(k)","","",""
"tmb_add_oneyear_lnk","Float","","Recommended","one-year ln(k)","","",""
"tmb_add_tenyears_lnk","Float","","Recommended","ten-years ln(k)","","",""
"tmb_add_respdevice","Integer","","Recommended","Participant's response device","1;2","1= Mouse; 2= Touch",""
"tmb_add_testversion","String","50","Recommended","Test's script version","","DelayDiscount_Main.v1.Dec20",""
