"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","20","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","","FIQ_1_Date"
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported","gender"
"topi_timepoint","Integer","","Required","Time point","1::4","1 = Pre; 2 = Midpoint; 3 = End; 4 = Follow-up",""
"obser_order","Integer","","Recommended","Observation number","1;2","",""
"eating","Integer","","Recommended","Eating?","0;1","0 = No; 1 = Yes",""
"topi_pb1_1","Integer","","Recommended","Initiated to another peer. Interval 1","0;1","0 = No; 1 = Yes",""
"topi_pb1_2","Integer","","Recommended","Initiated to another peer. Interval 2","0;1","0 = No; 1 = Yes",""
"topi_pb1_3","Integer","","Recommended","Initiated to another peer. Interval 3","0;1","0 = No; 1 = Yes",""
"topi_pb1_4","Integer","","Recommended","Initiated to another peer. Interval 4","0;1","0 = No; 1 = Yes",""
"topi_pb1_5","Integer","","Recommended","Initiated to another peer. Interval 5","0;1","0 = No; 1 = Yes",""
"topi_pb2_1","Integer","","Recommended","Responded to another peer. Interval 1","0;1","0 = No; 1 = Yes",""
"topi_pb2_2","Integer","","Recommended","Responded to another peer. Interval 2","0;1","0 = No; 1 = Yes",""
"topi_pb2_3","Integer","","Recommended","Responded to another peer. Interval 3","0;1","0 = No; 1 = Yes",""
"topi_pb2_4","Integer","","Recommended","Responded to another peer. Interval 4","0;1","0 = No; 1 = Yes",""
"topi_pb2_5","Integer","","Recommended","Responded to another peer. Interval 5","0;1","0 = No; 1 = Yes",""
"topi_pb3_1","Integer","","Recommended","Engaged in a conversation with another peer. Interval 1","0;1","0 = No; 1 = Yes",""
"topi_pb3_2","Integer","","Recommended","Engaged in a conversation with another peer. Interval 2","0;1","0 = No; 1 = Yes",""
"topi_pb3_3","Integer","","Recommended","Engaged in a conversation with another peer. Interval 3","0;1","0 = No; 1 = Yes",""
"topi_pb3_4","Integer","","Recommended","Engaged in a conversation with another peer. Interval 4","0;1","0 = No; 1 = Yes",""
"topi_pb3_5","Integer","","Recommended","Engaged in a conversation with another peer. Interval 5","0;1","0 = No; 1 = Yes",""
"topi_pb4_1","Integer","","Recommended","Engaged in a conversation with a group of peers. Interval 1","0;1","0 = No; 1 = Yes",""
"topi_pb4_2","Integer","","Recommended","Engaged in a conversation with a group of peers. Interval 2","0;1","0 = No; 1 = Yes",""
"topi_pb4_3","Integer","","Recommended","Engaged in a conversation with a group of peers. Interval 3","0;1","0 = No; 1 = Yes",""
"topi_pb4_4","Integer","","Recommended","Engaged in a conversation with a group of peers. Interval 4","0;1","0 = No; 1 = Yes",""
"topi_pb4_5","Integer","","Recommended","Engaged in a conversation with a group of peers. Interval 5","0;1","0 = No; 1 = Yes",""
"topi_pb5_1","Integer","","Recommended","Engaged in a game or activity with another peer or group of peers. Interval 1","0;1","0 = No; 1 = Yes",""
"topi_pb5_2","Integer","","Recommended","Engaged in a game or activity with another peer or group of peers. Interval 2","0;1","0 = No; 1 = Yes",""
"topi_pb5_3","Integer","","Recommended","Engaged in a game or activity with another peer or group of peers. Interval 3","0;1","0 = No; 1 = Yes",""
"topi_pb5_4","Integer","","Recommended","Engaged in a game or activity with another peer or group of peers. Interval 4","0;1","0 = No; 1 = Yes",""
"topi_pb5_5","Integer","","Recommended","Engaged in a game or activity with another peer or group of peers. Interval 5","0;1","0 = No; 1 = Yes",""
"topi_pb6_1","Integer","","Recommended","Observed agame or activity of a peer or group of peers. Interval 1","0;1","0 = No; 1 = Yes",""
"topi_pb6_2","Integer","","Recommended","Observed agame or activity of a peer or group of peers. Interval 2","0;1","0 = No; 1 = Yes",""
"topi_pb6_3","Integer","","Recommended","Observed agame or activity of a peer or group of peers. Interval 3","0;1","0 = No; 1 = Yes",""
"topi_pb6_4","Integer","","Recommended","Observed agame or activity of a peer or group of peers. Interval 4","0;1","0 = No; 1 = Yes",""
"topi_pb6_5","Integer","","Recommended","Observed agame or activity of a peer or group of peers. Interval 5","0;1","0 = No; 1 = Yes",""
"topi_pb7_1","Integer","","Recommended","Is part of a conversation with a group of peers but does not actively participate. Interval 1","0;1","0 = No; 1 = Yes",""
"topi_pb7_2","Integer","","Recommended","Is part of a conversation with a group of peers but does not actively participate. Interval 2","0;1","0 = No; 1 = Yes",""
"topi_pb7_3","Integer","","Recommended","Is part of a conversation with a group of peers but does not actively participate. Interval 3","0;1","0 = No; 1 = Yes",""
"topi_pb7_4","Integer","","Recommended","Is part of a conversation with a group of peers but does not actively participate. Interval 4","0;1","0 = No; 1 = Yes",""
"topi_pb7_5","Integer","","Recommended","Is part of a conversation with a group of peers but does not actively participate. Interval 5","0;1","0 = No; 1 = Yes",""
"topi_apbo","Integer","","Recommended","Amount of positive behaviors observed","","",""
"topi_nb1_1","Integer","","Recommended","Does not respond to peer initiation. Interval 1","0;1","0 = No; 1 = Yes",""
"topi_nb1_1tt","Integer","","Recommended","Does not respond to peer initiation. Tease/Taunt. Interval 1","0;1","0 = No; 1 = Yes",""
"topi_nb1_2","Integer","","Recommended","Does not respond to peer initiation. Interval 2","0;1","0 = No; 1 = Yes",""
"topi_nb1_2tt","Integer","","Recommended","Does not respond to peer initiation. Tease/Taunt. Interval 2","0;1","0 = No; 1 = Yes",""
"topi_nb1_3","Integer","","Recommended","Does not respond to peer initiation. Interval 3","0;1","0 = No; 1 = Yes",""
"topi_nb1_3tt","Integer","","Recommended","Does not respond to peer initiation. Tease/Taunt. Interval 3","0;1","0 = No; 1 = Yes",""
"topi_nb1_4","Integer","","Recommended","Does not respond to peer initiation. Interval 4","0;1","0 = No; 1 = Yes",""
"topi_nb1_4tt","Integer","","Recommended","Does not respond to peer initiation. Tease/Taunt. Interval 4","0;1","0 = No; 1 = Yes",""
"topi_nb1_5","Integer","","Recommended","Does not respond to peer initiation. Interval 5","0;1","0 = No; 1 = Yes",""
"topi_nb1_5tt","Integer","","Recommended","Does not respond to peer initiation. Tease/Taunt. Interval 5","0;1","0 = No; 1 = Yes",""
"topi_nb2_1","Integer","","Recommended","Verbally of physically rebuffs initiation by another peer or group of peers. Interval 1","0;1","0 = No; 1 = Yes",""
"topi_nb2_1tt","Integer","","Recommended","Verbally of physically rebuffs initiation by another peer or group of peers. Tease/Taunt. Interval 1","0;1","0 = No; 1 = Yes",""
"topi_nb2_2","Integer","","Recommended","Verbally of physically rebuffs initiation by another peer or group of peers. Interval 2","0;1","0 = No; 1 = Yes",""
"topi_nb2_2tt","Integer","","Recommended","Verbally of physically rebuffs initiation by another peer or group of peers. Tease/Taunt. Interval 2","0;1","0 = No; 1 = Yes",""
"topi_nb2_3","Integer","","Recommended","Verbally of physically rebuffs initiation by another peer or group of peers. Interval 3","0;1","0 = No; 1 = Yes",""
