"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","20","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported",""
"volatility_exp","Integer","","Recommended","Which Volatility Experiment is this for?","1::4","1 = Gain; 2 = Loss; 3 = Reward; 4 = Shock",""
"trial","Integer","","Recommended","Trial number","0::9999; -777; -999","1 = first; 2= second; 3=third; 4=fourth; 5=fifth; 6=sixth; etc; -777=NA, -999=missing",""
"col_choice","Integer","","Recommended","Color Choice","0;1","0 = Blue; 1 = Green","choice"
"green_outcome","Integer","","Recommended","Green Outcome","0;1","0 = Blue, results in the non-zero outcome; 1 = Green, results in the non-zero outcome",""
"green_mag","Float","","Recommended","Green Magnitude","-1::1","If the choice is green and if the outcome is not 0, then magnitude of outcome X is given",""
"blue_mag","Float","","Recommended","Blue Magnitude","-1::1","If the choice is blue and if the outcome is not 0, then magnitude of outcome X is given",""
"time_rt","Float","","Recommended","Time taken to respond","","","rt"
"block_sv","Integer","","Recommended","Did block involve volatile or stable condition?","1;2","1 = Stable; 2 = Volatile; counter-balanced across participants","block"
"study_part","Integer","","Recommended","Study Part Number","1::3","","part"
"timepoint_label","String","50","Recommended","Timepoint/visit label","","",""
