"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","20","Required","Subject ID how it's defined in lab/project","","","subject_id"
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported","gender"
"timept","Integer","","Recommended","Time Point","","888 = not applicable; 999 = missing",""
"phi1","Integer","","Recommended","Type of interview","1::5","1 = In person; 2 = Phone; 3 = Mail; 4 = SIG-O only; 5 = Carp only","in_person"
"wills_01","Integer","","Recommended","I like to plan things way ahead of time.","1 :: 5;444;555;777;888;999","1= Not at all true; 2= A little true; 3= Somewhat true; 4= Pretty true; 5= Very true; 444= Do not wish to respond ;999= No Answer; 888= Skipped; 777= Condition Skipped; 555= Missing","pla01"
"wills_02","Integer","","Recommended","When I promise to do something, you can count on me to do it.","1 :: 5;444;555;777;888;999","1= Not at all true; 2= A little true; 3= Somewhat true; 4= Pretty true; 5= Very true; 444= Do not wish to respond ;999= No Answer; 888= Skipped; 777= Condition Skipped; 555= Missing","pla02"
"wills_03","Integer","","Recommended","When I have to wait in line, I do it patiently.","1 :: 5;444;555;777;888;999","1= Not at all true; 2= A little true; 3= Somewhat true; 4= Pretty true; 5= Very true; 444= Do not wish to respond ;999= No Answer; 888= Skipped; 777= Condition Skipped; 555= Missing","pla03"
"wills_04","Integer","","Recommended","I stick with what I'm doing until I'm finished with it.","1 :: 5;444;555;777;888;999","1= Not at all true; 2= A little true; 3= Somewhat true; 4= Pretty true; 5= Very true; 444= Do not wish to respond ;999= No Answer; 888= Skipped; 777= Condition Skipped; 555= Missing","pla04"
"wills_05","Integer","","Recommended","I usually think before I act.","1 :: 5;444;555;777;888;999","1= Not at all true; 2= A little true; 3= Somewhat true; 4= Pretty true; 5= Very true; 444= Do not wish to respond ;999= No Answer; 888= Skipped; 777= Condition Skipped; 555= Missing","pla05"
"wills_06","Integer","","Recommended","I prefer to concentrate on one thing at a time.","1 :: 5;444;555;777;888;999","1= Not at all true; 2= A little true; 3= Somewhat true; 4= Pretty true; 5= Very true; 444= Do not wish to respond ;999= No Answer; 888= Skipped; 777= Condition Skipped; 555= Missing","pla06"
"wills_07","Integer","","Recommended","I like to work for long-range goals.","1 :: 5;444;555;777;888;999","1= Not at all true; 2= A little true; 3= Somewhat true; 4= Pretty true; 5= Very true; 444= Do not wish to respond ;999= No Answer; 888= Skipped; 777= Condition Skipped; 555= Missing",""
"wps_q1_y","Integer","","Recommended","I get as much information as I can.","1 :: 5;444;555;777;888;999","1= Never; 2= A little; 3= Sometimes; 4= Pretty often; 5= Usually; 444= Do not wish to respond ;999= No Answer; 888= Skipped; 777= Condition Skipped; 555= Missing","prs01,wills_08"
