"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"assess_join_var","Integer","","Recommended","Variable used to combine assessments with multiple parts due to the technical limitation of 1000 elements per data structure. Enter the row number of each distinct record.","","",""
"src_subject_id","String","20","Required","Subject ID how it's defined in lab/project","","","Wisc_iv_SRC_Subject_ID"
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","","Wisc_iv_interview_date"
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.","Wisc_iv_interview_age"
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported","gender"
"comments_misc","String","4000","Recommended","Miscellaneous comments on study, interview, methodology relevant to this form data","","","Wisc_iv_comments_misc"
"codingcopy_001","Integer","","Recommended","Number Complete","","","Wisc_iv_CodingCopy_001"
"codingcopy_002","Integer","","Recommended","Number Incorrect","","","Wisc_iv_CodingCopy_002"
"codingcopy_003","Integer","","Recommended","Number Correct","","","Wisc_iv_CodingCopy_003"
"codingcopy_004","String","50","Recommended","""Time Limit 120"""" - Completion Time""","","","Wisc_iv_CodingCopy_004"
"codingcopy_005","String","50","Recommended","Time Bonus Points","","","Wisc_iv_CodingCopy_005"
"codingcopy_006","String","50","Recommended","CDC Total Raw Score","","","Wisc_iv_CodingCopy_006"
"codingcopy_po_notestitem1","String","50","Recommended","""Process Observations - Number Test Items - 1"""" - 30""""""","","","Wisc_iv_CodingCopy_PO_NoTestItem1"
"codingcopy_po_notestitem2","String","50","Recommended","""Process Observations - Number Test Items - 31"""" - 60""""""","","","Wisc_iv_CodingCopy_PO_NoTestItem2"
"codingcopy_po_notestitem3","String","50","Recommended","""Process Observations - Number Test Items - 61"""" - 90""""""","","","Wisc_iv_CodingCopy_PO_NoTestItem3"
"behavioralobservations_rs","String","255","Recommended","Referral source/Reason for referral/Presenting complaint(s)","","","Wisc_iv_BehavioralObservations_rs"
"behavioralobservations_lang","String","255","Recommended","""Language (e.g., first/native/other language, English fluency, articulation)""","","","Wisc_iv_BehavioralObservations_lang"
"behavioralobservations_pa","String","255","Recommended","Physical appearance","","","Wisc_iv_BehavioralObservations_pa"
"behavioralobservations_hand","String","255","Recommended","Handedness","","","Wisc_iv_BehavioralObservations_hand"
"behavioralobservations_mp","String","255","Recommended","""Visual/Auditory/Motor problems (Were problems corrected, e.g., with glasses, hearing aids?)""","","","Wisc_iv_BehavioralObservations_mp"
"behavioralobservations_attnt","String","255","Recommended","""Attention and concentration (e.g., normal, hyperactive, remains in/out of seat)""","","","Wisc_iv_BehavioralObservations_attnt"
"behavioralobservations_test","String","255","Recommended","""Attitude toward testing (e.g., rapport, eager to speak, working habits, interest, motivation, reaction to success/failure)""","","","Wisc_iv_BehavioralObservations_test"
"behavioralobservations_mood","String","255","Recommended","Affect/Mood","","","Wisc_iv_BehavioralObservations_mood"
"behavioralobservations_nerb","String","255","Recommended","""Unusual behaviorsNerbalizations (e.g., perseverations, stereotypic movements, bizarre and atypical verbalizations)""","","","Wisc_iv_BehavioralObservations_nerb"
"behavioralobservations_othr","String","255","Recommended","Other notes","","","Wisc_iv_BehavioralObservations_othr"
"sp27_dc_vci_pri1","String","50","Recommended","VCI - PRI - Scaled Score 1","","","Wisc_iv_SP27_DC_vci_pri1"
"sp27_dc_vci_pri2","String","50","Recommended","Scaled Score 2","","","Wisc_iv_SP27_DC_vci_pri2"
"sp27_dc_vci_pri3","String","50","Recommended","Difference","","","Wisc_iv_SP27_DC_vci_pri3"
"sp27_dc_vci_pri4","String","50","Recommended","Critical Value (.15 or .05)","","","Wisc_iv_SP27_DC_vci_pri4"
"sp27_dc_vci_pri5","String","50","Recommended","Significant Difference (Y or N)","Yes;No","","Wisc_iv_SP27_DC_vci_pri5"
"sp27_dc_vci_pri6","String","50","Recommended","Base Rate","","","Wisc_iv_SP27_DC_vci_pri6"
"sp27_dc_vci_wmi1","String","50","Recommended","VCI - WMI - Scaled Score 1","","","Wisc_iv_SP27_DC_vci_wmi1"
"sp27_dc_vci_wmi2","String","50","Recommended","Scaled Score 2","","","Wisc_iv_SP27_DC_vci_wmi2"
"sp27_dc_vci_wmi3","String","50","Recommended","Difference","","","Wisc_iv_SP27_DC_vci_wmi3"
"sp27_dc_vci_wmi4","String","50","Recommended","Critical Value (.15 or .05)","","","Wisc_iv_SP27_DC_vci_wmi4"
"sp27_dc_vci_wmi5","String","50","Recommended","Significant Difference (Y or N)","Yes;No","","Wisc_iv_SP27_DC_vci_wmi5"
"sp27_dc_vci_wmi6","String","50","Recommended","Base Rate","","","Wisc_iv_SP27_DC_vci_wmi6"
"sp27_dc_vci_psi1","String","50","Recommended","VCI - PSI - Scaled Score 1","","","Wisc_iv_SP27_DC_vci_psi1"
"sp27_dc_vci_psi2","String","50","Recommended","Scaled Score 2","","","Wisc_iv_SP27_DC_vci_psi2"
"sp27_dc_vci_psi3","String","50","Recommended","Difference","","","Wisc_iv_SP27_DC_vci_psi3"
"sp27_dc_vci_psi4","String","50","Recommended","Critical Value (.15 or .05)","","","Wisc_iv_SP27_DC_vci_psi4"
"sp27_dc_vci_psi5","String","50","Recommended","Significant Difference (Y or N)","Yes;No","","Wisc_iv_SP27_DC_vci_psi5"
"sp27_dc_vci_psi6","String","50","Recommended","Base Rate","","","Wisc_iv_SP27_DC_vci_psi6"
"sp27_dc_pri_wmi1","String","50","Recommended","PRI - WMI - Scaled Score 1","","","Wisc_iv_SP27_DC_pri_wmi1"
"sp27_dc_pri_wmi2","String","50","Recommended","Scaled Score 2","","","Wisc_iv_SP27_DC_pri_wmi2"
"sp27_dc_pri_wmi3","String","50","Recommended","Difference","","","Wisc_iv_SP27_DC_pri_wmi3"
"sp27_dc_pri_wmi4","String","50","Recommended","Critical Value (.15 or .05)","","","Wisc_iv_SP27_DC_pri_wmi4"
"sp27_dc_pri_wmi5","String","50","Recommended","Significant Difference (Y or N)","Yes;No","","Wisc_iv_SP27_DC_pri_wmi5"
"sp27_dc_pri_wmi6","String","50","Recommended","Base Rate","","","Wisc_iv_SP27_DC_pri_wmi6"
"sp27_dc_pri_psi1","String","50","Recommended","PRI - PSI - Scaled Score 1","","","Wisc_iv_SP27_DC_pri_psi1"
"sp27_dc_pri_psi2","String","50","Recommended","Scaled Score 2","","","Wisc_iv_SP27_DC_pri_psi2"
"sp27_dc_pri_psi3","String","50","Recommended","Difference","","","Wisc_iv_SP27_DC_pri_psi3"
"sp27_dc_pri_psi4","String","50","Recommended","Critical Value (.15 or .05)","","","Wisc_iv_SP27_DC_pri_psi4"
"sp27_dc_pri_psi5","String","50","Recommended","Significant Difference (Y or N)","Yes;No","","Wisc_iv_SP27_DC_pri_psi5"
"sp27_dc_pri_psi6","String","50","Recommended","Base Rate","","","Wisc_iv_SP27_DC_pri_psi6"
"sp27_dc_wmi_psi1","String","50","Recommended","WMI - PSI - Scaled Score 1","","","Wisc_iv_SP27_DC_wmi_psi1"
"sp27_dc_wmi_psi2","String","50","Recommended","Scaled Score 2","","","Wisc_iv_SP27_DC_wmi_psi2"
"sp27_dc_wmi_psi3","String","50","Recommended","Difference","","","Wisc_iv_SP27_DC_wmi_psi3"
"sp27_dc_wmi_psi4","String","50","Recommended","Critical Value (.15 or .05)","","","Wisc_iv_SP27_DC_wmi_psi4"
"sp27_dc_wmi_psi5","String","50","Recommended","Significant Difference (Y or N)","Yes;No","","Wisc_iv_SP27_DC_wmi_psi5"
"sp27_dc_wmi_psi6","String","50","Recommended","Base Rate","","","Wisc_iv_SP27_DC_wmi_psi6"
"sp27_dc_ds_lns1","String","50","Recommended","Digit Span - Letter-Number Seq. - Scaled Score 1","","","Wisc_iv_SP27_DC_ds_lns1"
"sp27_dc_ds_lns2","String","50","Recommended","Scaled Score 2","","","Wisc_iv_SP27_DC_ds_lns2"
"sp27_dc_ds_lns3","String","50","Recommended","Difference","","","Wisc_iv_SP27_DC_ds_lns3"
"sp27_dc_ds_lns4","String","50","Recommended","Critical Value (.15 or .05)","","","Wisc_iv_SP27_DC_ds_lns4"
"sp27_dc_ds_lns5","String","50","Recommended","Significant Difference (Y or N)","Yes;No","","Wisc_iv_SP27_DC_ds_lns5"
"sp27_dc_ds_lns6","String","50","Recommended","Base Rate","","","Wisc_iv_SP27_DC_ds_lns6"
"sp27_dc_ds_a1","String","50","Recommended","Digit Span - Arithmetic - Scaled Score 1","","","Wisc_iv_SP27_DC_ds_a1"
"sp27_dc_ds_a2","String","50","Recommended","Scaled Score 2","","","Wisc_iv_SP27_DC_ds_a2"
"sp27_dc_ds_a3","String","50","Recommended","Difference","","","Wisc_iv_SP27_DC_ds_a3"
"sp27_dc_ds_a4","String","50","Recommended","Critical Value (.15 or .05)","","","Wisc_iv_SP27_DC_ds_a4"
"sp27_dc_ds_a5","String","50","Recommended","Significant Difference (Y or N)","Yes;No","","Wisc_iv_SP27_DC_ds_a5"
"sp27_dc_ds_a6","String","50","Recommended","Base Rate","","","Wisc_iv_SP27_DC_ds_a6"
"sp27_dc_lns_a1","String","50","Recommended","Letter-Number Seq. - Arithmetic - Scaled Score 1","","","Wisc_iv_SP27_DC_lns_a1"
"sp27_dc_lns_a2","String","50","Recommended","Scaled Score 2","","","Wisc_iv_SP27_DC_lns_a2"
"sp27_dc_lns_a3","String","50","Recommended","Difference","","","Wisc_iv_SP27_DC_lns_a3"
"sp27_dc_lns_a4","String","50","Recommended","Critical Value (.15 or .05)","","","Wisc_iv_SP27_DC_lns_a4"
"sp27_dc_lns_a5","String","50","Recommended","Significant Difference (Y or N)","","Y = Yes; N = No","Wisc_iv_SP27_DC_lns_a5"
"sp27_dc_lns_a6","String","50","Recommended","Base Rate","","","Wisc_iv_SP27_DC_lns_a6"
"sp27_dc_cssearch1","String","50","Recommended","Coding - Symbol Search - Scaled Score 1","","","Wisc_iv_SP27_DC_cssearch1"
"sp27_dc_cssearch2","String","50","Recommended","Scaled Score 2","","","Wisc_iv_SP27_DC_cssearch2"
"sp27_dc_cssearch3","String","50","Recommended","Difference","","","Wisc_iv_SP27_DC_cssearch3"
"sp27_dc_cssearch4","String","50","Recommended","Critical Value (.15 or .05)","","","Wisc_iv_SP27_DC_cssearch4"
"sp27_dc_cssearch5","String","50","Recommended","Significant Difference (Y or N)","Yes;No","","Wisc_iv_SP27_DC_cssearch5"
"sp27_dc_cssearch6","String","50","Recommended","Base Rate","","","Wisc_iv_SP27_DC_cssearch6"
"sp27_dc_ccancel1","String","50","Recommended","Coding - Cancellation  - Scaled Score 1","","","Wisc_iv_SP27_DC_ccancel1"
"sp27_dc_ccancel2","String","50","Recommended","Scaled Score 2","","","Wisc_iv_SP27_DC_ccancel2"
"sp27_dc_ccancel3","String","50","Recommended","Difference","","","Wisc_iv_SP27_DC_ccancel3"
"sp27_dc_ccancel4","String","50","Recommended","Critical Value (.15 or .05)","","","Wisc_iv_SP27_DC_ccancel4"
"sp27_dc_ccancel5","String","50","Recommended","Significant Difference (Y or N)","Yes;No","","Wisc_iv_SP27_DC_ccancel5"
"sp27_dc_ccancel6","String","50","Recommended","Base Rate","","","Wisc_iv_SP27_DC_ccancel6"
"sp27_dc_sscancel1","String","50","Recommended","Symbol Search - Cancellation - Scaled Score 1","","","Wisc_iv_SP27_DC_sscancel1"
"sp27_dc_sscancel2","String","50","Recommended","Scaled Score 2","","","Wisc_iv_SP27_DC_sscancel2"
"sp27_dc_sscancel3","String","50","Recommended","Difference","","","Wisc_iv_SP27_DC_sscancel3"
"sp27_dc_sscancel4","String","50","Recommended","Critical Value (.15 or .05)","","","Wisc_iv_SP27_DC_sscancel4"
"sp27_dc_sscancel5","String","50","Recommended","Significant Difference (Y or N)","Yes;No","","Wisc_iv_SP27_DC_sscancel5"
"sp27_dc_sscancel6","String","50","Recommended","Base Rate","","","Wisc_iv_SP27_DC_sscancel6"
"sp27_dc_spc1","String","50","Recommended","Similarities - Picture Concepts - Scaled Score 1","","","Wisc_iv_SP27_DC_spc1"
"sp27_dc_spc2","String","50","Recommended","Scaled Score 2","","","Wisc_iv_SP27_DC_spc2"
"sp27_dc_spc3","String","50","Recommended","Difference","","","Wisc_iv_SP27_DC_spc3"
"sp27_dc_spc4","String","50","Recommended","Critical Value (.15 or .05)","","","Wisc_iv_SP27_DC_spc4"
"sp27_dc_spc5","String","50","Recommended","Significant Difference (Y or N)","Yes;No","","Wisc_iv_SP27_DC_spc5"
"sp27_dc_spc6","String","50","Recommended","Base Rate","","","Wisc_iv_SP27_DC_spc6"
"sp27_dc_bc_overallsample","String","50","Recommended","Basis for Comparison - Overall Sample","Yes;No","","Wisc_iv_SP27_DC_bc_overallsample"
"sp27_dc_bc_comp","String","50","Recommended","Basis for Comparison - Verbal Comp. and Perc. Rsng. Means","Yes;No","","Wisc_iv_SP27_DC_bc_comp"
"sp27_dsw_bd1","String","50","Recommended","Block Design - Subtest Scaled Score","","","Wisc_iv_SP27_DSW_bd1"
