"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"subjectkey","GUID","","Required","The NDAR Global Unique Identifier (GUID) for research subject","NDAR*","",""
"src_subject_id","String","20","Required","Subject ID how it's defined in lab/project","","",""
"interview_date","Date","","Required","Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY","","",""
"interview_age","Integer","","Required","Age in months at the time of the interview/test/sampling/imaging.","0::1440","Age is rounded to chronological month. If the research participant is 15-days-old at time of interview, the appropriate value would be 0 months. If the participant is 16-days-old, the value would be 1 month.",""
"sex","String","20","Required","Sex of subject at birth","M;F; O; NR","M = Male; F = Female; O=Other; NR = Not reported",""
"ysl01","Integer","","Recommended","How often are you reminded of the loved one that you lost by everyday objects, places, and occurrences?","1::5","1 = Never; 3 = Sometimes; 5 = Always",""
"ysl02","Integer","","Recommended","How often do you find yourself wishing that things could be the way they were when you were with the loved one that you lost?","1::5","1 = Never; 3 = Sometimes; 5 = Always",""
"ysl03","Integer","","Recommended","How often are you distracted from things that are happening around you because you are thinking about the loved one that you lost?","1::5","1 = Never; 3 = Sometimes; 5 = Always",""
"ysl04","Integer","","Recommended","How often do you daydream about the loved one that you lost?","1::5","1 = Never; 3 = Sometimes; 5 = Always",""
"ysl05","Integer","","Recommended","How often is it hard for you to be happy without the loved one that you lost?","1::5","1 = Never; 3 = Sometimes; 5 = Always",""
"ysl06","Integer","","Recommended","How often do you feel like things used to be so perfect before you lost the loved one that you lost?","1::5","1 = Never; 3 = Sometimes; 5 = Always",""
"ysl07","Integer","","Recommended","How often do you feel like that in your ideal world, losing the loved one that you lost would never have happened?","1::5","1 = Never; 3 = Sometimes; 5 = Always",""
"ysl08","Integer","","Recommended","How often do you imagine and choose things you would be willing to give up in exchange for having the loved one that you lost back?","1::5","1 = Never; 3 = Sometimes; 5 = Always",""
"ysl09","Integer","","Recommended","How often do you feel separate from the world around you without the loved one that you lost?","1::5","1 = Never; 3 = Sometimes; 5 = Always",""
"ysl10","Integer","","Recommended","How often is the feeling of wanting the loved one that you lost back so strong It is indescribable?","1::5","1 = Never; 3 = Sometimes; 5 = Always",""
"ysl11","Integer","","Recommended","How often do you like to imagine what you would do if the loved one that you lost were with you?","1::5","1 = Never; 3 = Sometimes; 5 = Always",""
"ysl12","Integer","","Recommended","How often are you much more engaged in a conversation if it is about the loved one that you lost?","1::5","1 = Never; 3 = Sometimes; 5 = Always",""
"ysl13","Integer","","Recommended","How often do you feel that there just is no one else who can love you the way the loved one that you lost did?","1::5","1 = Never; 3 = Sometimes; 5 = Always",""
"ysl14","Integer","","Recommended","How often do you wish you could do the things you used to do with the loved one that you lost?","1::5","1 = Never; 3 = Sometimes; 5 = Always",""
"ysl15","Integer","","Recommended","How often do you feel like it would be impossible to find another person that would make you feel the same way as the loved one that you lost did?","1::5","1 = Never; 3 = Sometimes; 5 = Always",""
"ysl16","Integer","","Recommended","How often do you miss the loved one that you lost as much or more than you have missed any other person?","1::5","1 = Never; 3 = Sometimes; 5 = Always",""
"ysl17","Integer","","Recommended","How often do you feel alone without the loved one that you lost?","1::5","1 = Never; 3 = Sometimes; 5 = Always",""
"ysl18","Integer","","Recommended","How often do you not feel like going out as much without the loved one that you lost?","1::5","1 = Never; 3 = Sometimes; 5 = Always",""
"ysl19","Integer","","Recommended","How often is it hard to imagine feeling as comfortable and happy as you were when you were with the loved one that you lost?","1::5","1 = Never; 3 = Sometimes; 5 = Always",""
"ysl20","Integer","","Recommended","How often do you feel like if the loved one that you lost were here, you would know what to do about things?","1::5","1 = Never; 3 = Sometimes; 5 = Always",""
"ysl21","Integer","","Recommended","How often do you lfeel like you could be completely happy if you were with the loved one that you lost?","1::5","1 = Never; 3 = Sometimes; 5 = Always",""
"ysl_total","Integer","","Recommended","Yearning in Situations of Loss Scale - Bereaved Total Score","0::105","",""
